date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-01,California,State,Omicron,1.0,1.67,,
2021-01-01,California,State,Mu,0.0,0.0,,
2021-01-01,California,State,Gamma,0.0,0.0,,
2021-01-01,California,State,Epsilon,29.0,48.33,,
2021-01-01,California,State,Other,29.0,48.33,,
2021-01-01,California,State,Total,60.0,100.0,,
2021-01-01,California,State,Delta,0.0,0.0,,
2021-01-01,California,State,Beta,0.0,0.0,,
2021-01-01,California,State,Lambda,0.0,0.0,,
2021-01-01,California,State,Alpha,1.0,1.67,,
2021-01-02,California,State,Delta,1.0,0.91,,
2021-01-02,California,State,Alpha,6.0,5.45,,
2021-01-02,California,State,Epsilon,47.0,42.73,,
2021-01-02,California,State,Gamma,0.0,0.0,,
2021-01-02,California,State,Beta,0.0,0.0,,
2021-01-02,California,State,Other,53.0,48.18,,
2021-01-02,California,State,Lambda,0.0,0.0,,
2021-01-02,California,State,Total,110.0,100.0,,
2021-01-02,California,State,Omicron,3.0,2.73,,
2021-01-02,California,State,Mu,0.0,0.0,,
2021-01-03,California,State,Other,137.0,51.31,,
2021-01-03,California,State,Epsilon,119.0,44.57,,
2021-01-03,California,State,Alpha,5.0,1.87,,
2021-01-03,California,State,Total,267.0,100.0,,
2021-01-03,California,State,Beta,0.0,0.0,,
2021-01-03,California,State,Gamma,1.0,0.37,,
2021-01-03,California,State,Mu,0.0,0.0,,
2021-01-03,California,State,Delta,3.0,1.12,,
2021-01-03,California,State,Lambda,0.0,0.0,,
2021-01-03,California,State,Omicron,2.0,0.75,,
2021-01-04,California,State,Epsilon,694.0,54.91,,
2021-01-04,California,State,Omicron,0.0,0.0,,
2021-01-04,California,State,Alpha,7.0,0.55,,
2021-01-04,California,State,Delta,5.0,0.4,,
2021-01-04,California,State,Mu,0.0,0.0,,
2021-01-04,California,State,Beta,0.0,0.0,,
2021-01-04,California,State,Lambda,0.0,0.0,,
2021-01-04,California,State,Gamma,0.0,0.0,,
2021-01-04,California,State,Total,1264.0,100.0,,
2021-01-04,California,State,Other,558.0,44.15,,
2021-01-05,California,State,Other,358.0,43.98,,
2021-01-05,California,State,Lambda,0.0,0.0,,
2021-01-05,California,State,Mu,0.0,0.0,,
2021-01-05,California,State,Beta,0.0,0.0,,
2021-01-05,California,State,Delta,0.0,0.0,,
2021-01-05,California,State,Epsilon,440.0,54.05,,
2021-01-05,California,State,Gamma,0.0,0.0,,
2021-01-05,California,State,Alpha,16.0,1.97,,
2021-01-05,California,State,Total,814.0,100.0,,
2021-01-05,California,State,Omicron,0.0,0.0,,
2021-01-06,California,State,Beta,0.0,0.0,,
2021-01-06,California,State,Omicron,2.0,0.54,,
2021-01-06,California,State,Delta,3.0,0.81,,
2021-01-06,California,State,Lambda,0.0,0.0,,
2021-01-06,California,State,Mu,0.0,0.0,,
2021-01-06,California,State,Epsilon,210.0,56.45,,
2021-01-06,California,State,Other,154.0,41.4,,
2021-01-06,California,State,Total,372.0,100.0,,
2021-01-06,California,State,Gamma,0.0,0.0,,
2021-01-06,California,State,Alpha,3.0,0.81,,
2021-01-07,California,State,Total,307.0,100.0,456.28571428571,100.0
2021-01-07,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-07,California,State,Delta,0.0,0.0,1.71428571428,0.375704445836
2021-01-07,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-07,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-07,California,State,Alpha,15.0,4.89,7.57142857142,1.659361302442
2021-01-07,California,State,Epsilon,162.0,52.77,243.0,53.256105197245
2021-01-07,California,State,Gamma,0.0,0.0,0.14285714285,0.03130870382
2021-01-07,California,State,Omicron,2.0,0.65,1.42857142857,0.313087038197
2021-01-07,California,State,Other,128.0,41.69,202.42857142857,44.364433312461
2021-01-08,California,State,Epsilon,78.0,52.7,250.0,53.321145642901
2021-01-08,California,State,Delta,2.0,1.35,2.0,0.426569165143
2021-01-08,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-08,California,State,Alpha,2.0,1.35,7.71428571428,1.64533820841
2021-01-08,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-08,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-08,California,State,Other,65.0,43.92,207.57142857142,44.271785496648
2021-01-08,California,State,Total,148.0,100.0,468.85714285714,100.0
2021-01-08,California,State,Omicron,1.0,0.68,1.42857142857,0.304692260817
2021-01-08,California,State,Gamma,0.0,0.0,0.14285714285,0.030469226082
2021-01-09,California,State,Epsilon,302.0,57.31,286.42857142857,54.203838875372
2021-01-09,California,State,Alpha,6.0,1.14,7.71428571428,1.459854014599
2021-01-09,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-09,California,State,Delta,1.0,0.19,2.0,0.378480670451
2021-01-09,California,State,Gamma,0.0,0.0,0.14285714285,0.027034333604
2021-01-09,California,State,Other,217.0,41.18,231.0,43.714517437145
2021-01-09,California,State,Total,527.0,100.0,528.42857142857,100.0
2021-01-09,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-09,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-09,California,State,Omicron,1.0,0.19,1.14285714285,0.216274668829
2021-01-10,California,State,Total,157.0,100.0,512.71428571428,100.0
2021-01-10,California,State,Epsilon,88.0,56.05,282.0,55.001393145723
2021-01-10,California,State,Other,68.0,43.31,221.14285714285,43.1317915854
2021-01-10,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-10,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-10,California,State,Delta,0.0,0.0,1.57142857142,0.306492059069
2021-01-10,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-10,California,State,Omicron,1.0,0.64,1.0,0.195040401226
2021-01-10,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-10,California,State,Alpha,0.0,0.0,7.0,1.365282808582
2021-01-11,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-11,California,State,Epsilon,270.0,47.87,221.42857142857,53.651782623745
2021-01-11,California,State,Mu,1.0,0.18,0.14285714285,0.034614053306
2021-01-11,California,State,Alpha,8.0,1.42,7.14285714285,1.730702665282
2021-01-11,California,State,Omicron,2.0,0.35,1.28571428571,0.311526479751
2021-01-11,California,State,Delta,2.0,0.35,1.14285714285,0.276912426445
2021-01-11,California,State,Other,280.0,49.65,181.42857142857,43.959847698165
2021-01-11,California,State,Total,564.0,100.0,412.71428571428,100.0
2021-01-11,California,State,Beta,1.0,0.18,0.14285714285,0.034614053306
2021-01-11,California,State,Gamma,0.0,0.0,0.0,0.0
2021-01-12,California,State,Beta,0.0,0.0,0.14285714285,0.03812428517
2021-01-12,California,State,Total,548.0,100.0,374.71428571428,100.0
2021-01-12,California,State,Delta,1.0,0.18,1.28571428571,0.343118566527
2021-01-12,California,State,Epsilon,300.0,54.74,201.42857142857,53.755242089211
2021-01-12,California,State,Other,237.0,43.25,164.14285714285,43.804803659931
2021-01-12,California,State,Omicron,0.0,0.0,1.28571428571,0.343118566527
2021-01-12,California,State,Mu,0.0,0.0,0.14285714285,0.03812428517
2021-01-12,California,State,Gamma,1.0,0.18,0.14285714285,0.03812428517
2021-01-12,California,State,Alpha,9.0,1.64,6.14285714285,1.639344262295
2021-01-12,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-13,California,State,Epsilon,336.0,58.33,219.42857142857,54.33321542271
2021-01-13,California,State,Mu,0.0,0.0,0.14285714285,0.035373187124
2021-01-13,California,State,Alpha,9.0,1.56,7.0,1.733286169084
2021-01-13,California,State,Total,576.0,100.0,403.85714285714,100.0
2021-01-13,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-13,California,State,Other,228.0,39.58,174.71428571428,43.261407852848
2021-01-13,California,State,Beta,0.0,0.0,0.14285714285,0.035373187124
2021-01-13,California,State,Gamma,0.0,0.0,0.14285714285,0.035373187124
2021-01-13,California,State,Delta,1.0,0.17,1.0,0.247612309869
2021-01-13,California,State,Omicron,2.0,0.35,1.28571428571,0.318358684117
2021-01-14,California,State,Gamma,0.0,0.0,0.14285714285,0.031318509239
2021-01-14,California,State,Other,234.0,34.77,189.85714285714,41.622298778578
2021-01-14,California,State,Alpha,14.0,2.08,6.85714285714,1.50328844347
2021-01-14,California,State,Mu,0.0,0.0,0.14285714285,0.031318509239
2021-01-14,California,State,Omicron,0.0,0.0,1.0,0.219229564673
2021-01-14,California,State,Total,673.0,100.0,456.14285714285,100.0
2021-01-14,California,State,Beta,0.0,0.0,0.14285714285,0.031318509239
2021-01-14,California,State,Delta,0.0,0.0,1.0,0.219229564673
2021-01-14,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-14,California,State,Epsilon,425.0,63.15,257.0,56.341998120889
2021-01-15,California,State,Epsilon,312.0,55.61,290.42857142857,56.378258458125
